source,company,sector,target_role,linkedin_search,date_found,status,priority,notes,draft_email
Target Company List,Gold Fields,mining,Head of Innovation,https://www.linkedin.com/search/results/people/?keywords=Gold+Fields+Head+of+Innovation&origin=GLOBAL_SEARCH_HEADER,2026-04-04T02:30:25.114408,new,high,Direct outreach to Head of Innovation at Gold Fields,"Subject: Gold Fields - AI Solutions for Mining Operations

Hi Head of Innovation,

I noticed Gold Fields is actively investing in technology and innovation.

I'm Mahlo Kgotleng, founder of Kgotla AI. We specialize in AI-driven solutions for mining operations—specifically addressing unplanned equipment downtime and safety incidents costing millions.

Recent wins:
• Reduced equipment downtime by 35% for a mining client using predictive maintenance AI
• Automated compliance reporting saving 200+ hours/month for a power utility
• Built intelligent safety monitoring reducing incidents by 40%

I'd love to explore how we can deliver similar results for Gold Fields. 

Worth a 15-minute call this week?

Best,
Mahlo Kgotleng
Founder, Kgotla AI
https://www.linkedin.com/in/mahlo-kgotleng-473830194
P.S. We're currently offering 50% equity partnerships for Enterprise Development—happy to share details.
"
Target Company List,Gold Fields,mining,Digital Transformation Lead,https://www.linkedin.com/search/results/people/?keywords=Gold+Fields+Digital+Transformation+Lead&origin=GLOBAL_SEARCH_HEADER,2026-04-04T02:30:25.114412,new,high,Direct outreach to Digital Transformation Lead at Gold Fields,"Subject: Gold Fields - AI Solutions for Mining Operations

Hi Digital Transformation Lead,

I noticed Gold Fields is actively investing in technology and innovation.

I'm Mahlo Kgotleng, founder of Kgotla AI. We specialize in AI-driven solutions for mining operations—specifically addressing unplanned equipment downtime and safety incidents costing millions.

Recent wins:
• Reduced equipment downtime by 35% for a mining client using predictive maintenance AI
• Automated compliance reporting saving 200+ hours/month for a power utility
• Built intelligent safety monitoring reducing incidents by 40%

I'd love to explore how we can deliver similar results for Gold Fields. 

Worth a 15-minute call this week?

Best,
Mahlo Kgotleng
Founder, Kgotla AI
https://www.linkedin.com/in/mahlo-kgotleng-473830194
P.S. We're currently offering 50% equity partnerships for Enterprise Development—happy to share details.
"
Target Company List,Impala Platinum,mining,CTO,https://www.linkedin.com/search/results/people/?keywords=Impala+Platinum+CTO&origin=GLOBAL_SEARCH_HEADER,2026-04-04T02:30:25.114417,new,high,Direct outreach to CTO at Impala Platinum,"Subject: Impala Platinum - AI Solutions for Mining Operations

Hi CTO,

I noticed Impala Platinum is actively investing in technology and innovation.

I'm Mahlo Kgotleng, founder of Kgotla AI. We specialize in AI-driven solutions for mining operations—specifically addressing unplanned equipment downtime and safety incidents costing millions.

Recent wins:
• Reduced equipment downtime by 35% for a mining client using predictive maintenance AI
• Automated compliance reporting saving 200+ hours/month for a power utility
• Built intelligent safety monitoring reducing incidents by 40%

I'd love to explore how we can deliver similar results for Impala Platinum. 

Worth a 15-minute call this week?

Best,
Mahlo Kgotleng
Founder, Kgotla AI
https://www.linkedin.com/in/mahlo-kgotleng-473830194
P.S. We're currently offering 50% equity partnerships for Enterprise Development—happy to share details.
"
Target Company List,Impala Platinum,mining,Head of Innovation,https://www.linkedin.com/search/results/people/?keywords=Impala+Platinum+Head+of+Innovation&origin=GLOBAL_SEARCH_HEADER,2026-04-04T02:30:25.114422,new,high,Direct outreach to Head of Innovation at Impala Platinum,"Subject: Impala Platinum - AI Solutions for Mining Operations

Hi Head of Innovation,

I noticed Impala Platinum is actively investing in technology and innovation.

I'm Mahlo Kgotleng, founder of Kgotla AI. We specialize in AI-driven solutions for mining operations—specifically addressing unplanned equipment downtime and safety incidents costing millions.

Recent wins:
• Reduced equipment downtime by 35% for a mining client using predictive maintenance AI
• Automated compliance reporting saving 200+ hours/month for a power utility
• Built intelligent safety monitoring reducing incidents by 40%

I'd love to explore how we can deliver similar results for Impala Platinum. 

Worth a 15-minute call this week?

Best,
Mahlo Kgotleng
Founder, Kgotla AI
https://www.linkedin.com/in/mahlo-kgotleng-473830194
P.S. We're currently offering 50% equity partnerships for Enterprise Development—happy to share details.
"
Target Company List,Impala Platinum,mining,Digital Transformation Lead,https://www.linkedin.com/search/results/people/?keywords=Impala+Platinum+Digital+Transformation+Lead&origin=GLOBAL_SEARCH_HEADER,2026-04-04T02:30:25.114426,new,high,Direct outreach to Digital Transformation Lead at Impala Platinum,"Subject: Impala Platinum - AI Solutions for Mining Operations

Hi Digital Transformation Lead,

I noticed Impala Platinum is actively investing in technology and innovation.

I'm Mahlo Kgotleng, founder of Kgotla AI. We specialize in AI-driven solutions for mining operations—specifically addressing unplanned equipment downtime and safety incidents costing millions.

Recent wins:
• Reduced equipment downtime by 35% for a mining client using predictive maintenance AI
• Automated compliance reporting saving 200+ hours/month for a power utility
• Built intelligent safety monitoring reducing incidents by 40%

I'd love to explore how we can deliver similar results for Impala Platinum. 

Worth a 15-minute call this week?

Best,
Mahlo Kgotleng
Founder, Kgotla AI
https://www.linkedin.com/in/mahlo-kgotleng-473830194
P.S. We're currently offering 50% equity partnerships for Enterprise Development—happy to share details.
"
Target Company List,Northam Platinum,mining,CTO,https://www.linkedin.com/search/results/people/?keywords=Northam+Platinum+CTO&origin=GLOBAL_SEARCH_HEADER,2026-04-04T02:30:25.114431,new,high,Direct outreach to CTO at Northam Platinum,"Subject: Northam Platinum - AI Solutions for Mining Operations

Hi CTO,

I noticed Northam Platinum is actively investing in technology and innovation.

I'm Mahlo Kgotleng, founder of Kgotla AI. We specialize in AI-driven solutions for mining operations—specifically addressing unplanned equipment downtime and safety incidents costing millions.

Recent wins:
• Reduced equipment downtime by 35% for a mining client using predictive maintenance AI
• Automated compliance reporting saving 200+ hours/month for a power utility
• Built intelligent safety monitoring reducing incidents by 40%

I'd love to explore how we can deliver similar results for Northam Platinum. 

Worth a 15-minute call this week?

Best,
Mahlo Kgotleng
Founder, Kgotla AI
https://www.linkedin.com/in/mahlo-kgotleng-473830194
P.S. We're currently offering 50% equity partnerships for Enterprise Development—happy to share details.
"
Target Company List,Northam Platinum,mining,Head of Innovation,https://www.linkedin.com/search/results/people/?keywords=Northam+Platinum+Head+of+Innovation&origin=GLOBAL_SEARCH_HEADER,2026-04-04T02:30:25.114435,new,high,Direct outreach to Head of Innovation at Northam Platinum,"Subject: Northam Platinum - AI Solutions for Mining Operations

Hi Head of Innovation,

I noticed Northam Platinum is actively investing in technology and innovation.

I'm Mahlo Kgotleng, founder of Kgotla AI. We specialize in AI-driven solutions for mining operations—specifically addressing unplanned equipment downtime and safety incidents costing millions.

Recent wins:
• Reduced equipment downtime by 35% for a mining client using predictive maintenance AI
• Automated compliance reporting saving 200+ hours/month for a power utility
• Built intelligent safety monitoring reducing incidents by 40%

I'd love to explore how we can deliver similar results for Northam Platinum. 

Worth a 15-minute call this week?

Best,
Mahlo Kgotleng
Founder, Kgotla AI
https://www.linkedin.com/in/mahlo-kgotleng-473830194
P.S. We're currently offering 50% equity partnerships for Enterprise Development—happy to share details.
"
Target Company List,Northam Platinum,mining,Digital Transformation Lead,https://www.linkedin.com/search/results/people/?keywords=Northam+Platinum+Digital+Transformation+Lead&origin=GLOBAL_SEARCH_HEADER,2026-04-04T02:30:25.114440,new,high,Direct outreach to Digital Transformation Lead at Northam Platinum,"Subject: Northam Platinum - AI Solutions for Mining Operations

Hi Digital Transformation Lead,

I noticed Northam Platinum is actively investing in technology and innovation.

I'm Mahlo Kgotleng, founder of Kgotla AI. We specialize in AI-driven solutions for mining operations—specifically addressing unplanned equipment downtime and safety incidents costing millions.

Recent wins:
• Reduced equipment downtime by 35% for a mining client using predictive maintenance AI
• Automated compliance reporting saving 200+ hours/month for a power utility
• Built intelligent safety monitoring reducing incidents by 40%

I'd love to explore how we can deliver similar results for Northam Platinum. 

Worth a 15-minute call this week?

Best,
Mahlo Kgotleng
Founder, Kgotla AI
https://www.linkedin.com/in/mahlo-kgotleng-473830194
P.S. We're currently offering 50% equity partnerships for Enterprise Development—happy to share details.
"
Target Company List,Exxaro,mining,CTO,https://www.linkedin.com/search/results/people/?keywords=Exxaro+CTO&origin=GLOBAL_SEARCH_HEADER,2026-04-04T02:30:25.114444,new,high,Direct outreach to CTO at Exxaro,"Subject: Exxaro - AI Solutions for Mining Operations

Hi CTO,

I noticed Exxaro is actively investing in technology and innovation.

I'm Mahlo Kgotleng, founder of Kgotla AI. We specialize in AI-driven solutions for mining operations—specifically addressing unplanned equipment downtime and safety incidents costing millions.

Recent wins:
• Reduced equipment downtime by 35% for a mining client using predictive maintenance AI
• Automated compliance reporting saving 200+ hours/month for a power utility
• Built intelligent safety monitoring reducing incidents by 40%

I'd love to explore how we can deliver similar results for Exxaro. 

Worth a 15-minute call this week?

Best,
Mahlo Kgotleng
Founder, Kgotla AI
https://www.linkedin.com/in/mahlo-kgotleng-473830194
P.S. We're currently offering 50% equity partnerships for Enterprise Development—happy to share details.
"
Target Company List,Exxaro,mining,Head of Innovation,https://www.linkedin.com/search/results/people/?keywords=Exxaro+Head+of+Innovation&origin=GLOBAL_SEARCH_HEADER,2026-04-04T02:30:25.114449,new,high,Direct outreach to Head of Innovation at Exxaro,"Subject: Exxaro - AI Solutions for Mining Operations

Hi Head of Innovation,

I noticed Exxaro is actively investing in technology and innovation.

I'm Mahlo Kgotleng, founder of Kgotla AI. We specialize in AI-driven solutions for mining operations—specifically addressing unplanned equipment downtime and safety incidents costing millions.

Recent wins:
• Reduced equipment downtime by 35% for a mining client using predictive maintenance AI
• Automated compliance reporting saving 200+ hours/month for a power utility
• Built intelligent safety monitoring reducing incidents by 40%

I'd love to explore how we can deliver similar results for Exxaro. 

Worth a 15-minute call this week?

Best,
Mahlo Kgotleng
Founder, Kgotla AI
https://www.linkedin.com/in/mahlo-kgotleng-473830194
P.S. We're currently offering 50% equity partnerships for Enterprise Development—happy to share details.
"
Target Company List,Exxaro,mining,Digital Transformation Lead,https://www.linkedin.com/search/results/people/?keywords=Exxaro+Digital+Transformation+Lead&origin=GLOBAL_SEARCH_HEADER,2026-04-04T02:30:25.114453,new,high,Direct outreach to Digital Transformation Lead at Exxaro,
Target Company List,South32,mining,CTO,https://www.linkedin.com/search/results/people/?keywords=South32+CTO&origin=GLOBAL_SEARCH_HEADER,2026-04-04T02:30:25.114458,new,high,Direct outreach to CTO at South32,
Target Company List,South32,mining,Head of Innovation,https://www.linkedin.com/search/results/people/?keywords=South32+Head+of+Innovation&origin=GLOBAL_SEARCH_HEADER,2026-04-04T02:30:25.114462,new,high,Direct outreach to Head of Innovation at South32,
Target Company List,South32,mining,Digital Transformation Lead,https://www.linkedin.com/search/results/people/?keywords=South32+Digital+Transformation+Lead&origin=GLOBAL_SEARCH_HEADER,2026-04-04T02:30:25.114466,new,high,Direct outreach to Digital Transformation Lead at South32,
Target Company List,Kumba Iron Ore,mining,CTO,https://www.linkedin.com/search/results/people/?keywords=Kumba+Iron+Ore+CTO&origin=GLOBAL_SEARCH_HEADER,2026-04-04T02:30:25.114471,new,high,Direct outreach to CTO at Kumba Iron Ore,
Target Company List,Kumba Iron Ore,mining,Head of Innovation,https://www.linkedin.com/search/results/people/?keywords=Kumba+Iron+Ore+Head+of+Innovation&origin=GLOBAL_SEARCH_HEADER,2026-04-04T02:30:25.114475,new,high,Direct outreach to Head of Innovation at Kumba Iron Ore,
Target Company List,Kumba Iron Ore,mining,Digital Transformation Lead,https://www.linkedin.com/search/results/people/?keywords=Kumba+Iron+Ore+Digital+Transformation+Lead&origin=GLOBAL_SEARCH_HEADER,2026-04-04T02:30:25.114479,new,high,Direct outreach to Digital Transformation Lead at Kumba Iron Ore,
Target Company List,African Rainbow Minerals,mining,CTO,https://www.linkedin.com/search/results/people/?keywords=African+Rainbow+Minerals+CTO&origin=GLOBAL_SEARCH_HEADER,2026-04-04T02:30:25.114484,new,high,Direct outreach to CTO at African Rainbow Minerals,
Target Company List,African Rainbow Minerals,mining,Head of Innovation,https://www.linkedin.com/search/results/people/?keywords=African+Rainbow+Minerals+Head+of+Innovation&origin=GLOBAL_SEARCH_HEADER,2026-04-04T02:30:25.114488,new,high,Direct outreach to Head of Innovation at African Rainbow Minerals,
Target Company List,African Rainbow Minerals,mining,Digital Transformation Lead,https://www.linkedin.com/search/results/people/?keywords=African+Rainbow+Minerals+Digital+Transformation+Lead&origin=GLOBAL_SEARCH_HEADER,2026-04-04T02:30:25.114493,new,high,Direct outreach to Digital Transformation Lead at African Rainbow Minerals,
Target Company List,Royal Bafokeng Platinum,mining,CTO,https://www.linkedin.com/search/results/people/?keywords=Royal+Bafokeng+Platinum+CTO&origin=GLOBAL_SEARCH_HEADER,2026-04-04T02:30:25.114498,new,high,Direct outreach to CTO at Royal Bafokeng Platinum,
Target Company List,Royal Bafokeng Platinum,mining,Head of Innovation,https://www.linkedin.com/search/results/people/?keywords=Royal+Bafokeng+Platinum+Head+of+Innovation&origin=GLOBAL_SEARCH_HEADER,2026-04-04T02:30:25.114502,new,high,Direct outreach to Head of Innovation at Royal Bafokeng Platinum,
Target Company List,Royal Bafokeng Platinum,mining,Digital Transformation Lead,https://www.linkedin.com/search/results/people/?keywords=Royal+Bafokeng+Platinum+Digital+Transformation+Lead&origin=GLOBAL_SEARCH_HEADER,2026-04-04T02:30:25.114506,new,high,Direct outreach to Digital Transformation Lead at Royal Bafokeng Platinum,
Target Company List,Tharisa,mining,CTO,https://www.linkedin.com/search/results/people/?keywords=Tharisa+CTO&origin=GLOBAL_SEARCH_HEADER,2026-04-04T02:30:25.114511,new,high,Direct outreach to CTO at Tharisa,
Target Company List,Tharisa,mining,Head of Innovation,https://www.linkedin.com/search/results/people/?keywords=Tharisa+Head+of+Innovation&origin=GLOBAL_SEARCH_HEADER,2026-04-04T02:30:25.114515,new,high,Direct outreach to Head of Innovation at Tharisa,
Target Company List,Tharisa,mining,Digital Transformation Lead,https://www.linkedin.com/search/results/people/?keywords=Tharisa+Digital+Transformation+Lead&origin=GLOBAL_SEARCH_HEADER,2026-04-04T02:30:25.114519,new,high,Direct outreach to Digital Transformation Lead at Tharisa,
Target Company List,Jubilee Metals,mining,CTO,https://www.linkedin.com/search/results/people/?keywords=Jubilee+Metals+CTO&origin=GLOBAL_SEARCH_HEADER,2026-04-04T02:30:25.114524,new,high,Direct outreach to CTO at Jubilee Metals,
Target Company List,Jubilee Metals,mining,Head of Innovation,https://www.linkedin.com/search/results/people/?keywords=Jubilee+Metals+Head+of+Innovation&origin=GLOBAL_SEARCH_HEADER,2026-04-04T02:30:25.114528,new,high,Direct outreach to Head of Innovation at Jubilee Metals,
Target Company List,Jubilee Metals,mining,Digital Transformation Lead,https://www.linkedin.com/search/results/people/?keywords=Jubilee+Metals+Digital+Transformation+Lead&origin=GLOBAL_SEARCH_HEADER,2026-04-04T02:30:25.114532,new,high,Direct outreach to Digital Transformation Lead at Jubilee Metals,
Target Company List,ArcelorMittal,manufacturing,Plant Manager,https://www.linkedin.com/search/results/people/?keywords=ArcelorMittal+Plant+Manager&origin=GLOBAL_SEARCH_HEADER,2026-04-04T02:30:25.114537,new,high,Direct outreach to Plant Manager at ArcelorMittal,
Target Company List,ArcelorMittal,manufacturing,Operations Manager,https://www.linkedin.com/search/results/people/?keywords=ArcelorMittal+Operations+Manager&origin=GLOBAL_SEARCH_HEADER,2026-04-04T02:30:25.114542,new,high,Direct outreach to Operations Manager at ArcelorMittal,
Target Company List,ArcelorMittal,manufacturing,IT Director,https://www.linkedin.com/search/results/people/?keywords=ArcelorMittal+IT+Director&origin=GLOBAL_SEARCH_HEADER,2026-04-04T02:30:25.114546,new,high,Direct outreach to IT Director at ArcelorMittal,
Target Company List,Pepkor,manufacturing,Plant Manager,https://www.linkedin.com/search/results/people/?keywords=Pepkor+Plant+Manager&origin=GLOBAL_SEARCH_HEADER,2026-04-04T02:30:25.114551,new,high,Direct outreach to Plant Manager at Pepkor,
Target Company List,Pepkor,manufacturing,Operations Manager,https://www.linkedin.com/search/results/people/?keywords=Pepkor+Operations+Manager&origin=GLOBAL_SEARCH_HEADER,2026-04-04T02:30:25.114555,new,high,Direct outreach to Operations Manager at Pepkor,
Target Company List,Pepkor,manufacturing,IT Director,https://www.linkedin.com/search/results/people/?keywords=Pepkor+IT+Director&origin=GLOBAL_SEARCH_HEADER,2026-04-04T02:30:25.114559,new,high,Direct outreach to IT Director at Pepkor,
Target Company List,Tiger Brands,manufacturing,Plant Manager,https://www.linkedin.com/search/results/people/?keywords=Tiger+Brands+Plant+Manager&origin=GLOBAL_SEARCH_HEADER,2026-04-04T02:30:25.114563,new,high,Direct outreach to Plant Manager at Tiger Brands,
Target Company List,Tiger Brands,manufacturing,Operations Manager,https://www.linkedin.com/search/results/people/?keywords=Tiger+Brands+Operations+Manager&origin=GLOBAL_SEARCH_HEADER,2026-04-04T02:30:25.114567,new,high,Direct outreach to Operations Manager at Tiger Brands,
Target Company List,Tiger Brands,manufacturing,IT Director,https://www.linkedin.com/search/results/people/?keywords=Tiger+Brands+IT+Director&origin=GLOBAL_SEARCH_HEADER,2026-04-04T02:30:25.114572,new,high,Direct outreach to IT Director at Tiger Brands,
Target Company List,Pioneer Foods,manufacturing,Plant Manager,https://www.linkedin.com/search/results/people/?keywords=Pioneer+Foods+Plant+Manager&origin=GLOBAL_SEARCH_HEADER,2026-04-04T02:30:25.114576,new,high,Direct outreach to Plant Manager at Pioneer Foods,
Target Company List,Pioneer Foods,manufacturing,Operations Manager,https://www.linkedin.com/search/results/people/?keywords=Pioneer+Foods+Operations+Manager&origin=GLOBAL_SEARCH_HEADER,2026-04-04T02:30:25.114580,new,high,Direct outreach to Operations Manager at Pioneer Foods,
Target Company List,Pioneer Foods,manufacturing,IT Director,https://www.linkedin.com/search/results/people/?keywords=Pioneer+Foods+IT+Director&origin=GLOBAL_SEARCH_HEADER,2026-04-04T02:30:25.114584,new,high,Direct outreach to IT Director at Pioneer Foods,
Target Company List,Distell,manufacturing,Plant Manager,https://www.linkedin.com/search/results/people/?keywords=Distell+Plant+Manager&origin=GLOBAL_SEARCH_HEADER,2026-04-04T02:30:25.114589,new,high,Direct outreach to Plant Manager at Distell,
